"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1395","Deve cadastrar e depois buscar um carrinho por ID","","Wed May 21 11:23:34 BRT 2025","passed","Wed May 21 11:23:35 BRT 2025","","Testes de API - Carrinhos (Serverest)","",""
"","302","Deve listar todos os carrinhos cadastrados","","Wed May 21 11:23:34 BRT 2025","passed","Wed May 21 11:23:34 BRT 2025","","Testes de API - Carrinhos (Serverest)","",""
"","1276","Deve cadastrar e remover um carrinho","","Wed May 21 11:23:32 BRT 2025","passed","Wed May 21 11:23:34 BRT 2025","","Testes de API - Carrinhos (Serverest)","",""
